player_id,thrower_x,thrower_y,event_type,dest_x,dest_y,event_name
marmstron,-9.55,39.53,18,3.42,40.12,Throw (completion)
bstreet,3.42,40.12,18,-6.71,40.41,Throw (completion)
cwilder,-6.71,40.41,18,12.75,41.94,Throw (completion)
ndigiorgi,12.75,41.94,18,1.31,53.81,Throw (completion)
marmstron,1.31,53.81,18,-11.81,55.33,Throw (completion)
ndigiorgi,-11.81,55.33,22,-17.59,77.55,Throwaway
jradack,8.74,38.44,22,12.45,109.87,Throwaway
cwilder,0.36,18.34,20,-5.94,42.41,Drop
jradack,11.36,82.57,18,5.97,86.06,Throw (completion)
jradack,12.53,82.93,18,21.05,92.33,Throw (completion)
jhustad,3.06,8.15,18,-1.68,32.98,Throw (completion)
awilsonho,16.53,44.56,18,-5.18,49.95,Throw (completion)
mevans,3.06,10.48,18,-15.67,19.07,Throw (completion)
dfitzgera,-15.67,19.07,18,-22.52,32.91,Throw (completion)
eswiatek,-22.52,32.91,18,-26.16,41.94,Throw (completion)
jkaplan,-26.16,41.94,18,-20.77,33.27,Throw (completion)
eswiatek,-20.77,33.27,18,-9.48,30.36,Throw (completion)
jkaplan,-8.97,30.07,18,-0.59,36.11,Throw (completion)
eswiatek,-0.59,36.11,18,12.16,38.08,Throw (completion)
jradack,12.16,38.08,18,15.51,94.07,Throw (completion)
mevans,15.51,94.07,19,13.18,107.47,Goal
cwilder,-2.77,9.61,18,0.43,18.85,Throw (completion)
jhustad,0.43,18.85,18,7.86,19.51,Throw (completion)
cwilder,7.86,19.51,18,-3.21,19.87,Throw (completion)
jhustad,-3.21,19.87,18,6.63,19.15,Throw (completion)
cwilder,6.63,19.15,18,16.17,19.66,Throw (completion)
ndigiorgi,16.17,19.66,18,-7.22,9.61,Throw (completion)
jhustad,-7.22,9.61,18,9.69,19.29,Throw (completion)
cwilder,9.69,19.29,18,16.61,19.87,Throw (completion)
jhustad,16.61,19.87,18,15.66,30.14,Throw (completion)
cwilder,15.81,50.53,18,-7.44,90.72,Throw (completion)
awilsonho,-7.44,90.72,19,-4.52,110.53,Goal
dfitzgera,0.0,40.0,18,-12.83,41.86,Throw (completion)
khenke,-12.83,41.86,18,-12.32,37.35,Throw (completion)
dfitzgera,-12.32,37.35,18,-21.21,44.27,Throw (completion)
jkaplan,-21.21,44.27,18,-5.18,33.34,Throw (completion)
mevans,-5.18,33.34,18,8.67,34.73,Throw (completion)
jkaplan,8.67,34.73,18,16.53,39.75,Throw (completion)
eswiatek,16.53,39.75,18,24.91,49.15,Throw (completion)
dfitzgera,24.91,49.15,18,26.15,67.35,Throw (completion)
khenke,26.15,67.35,18,25.2,75.36,Throw (completion)
dfitzgera,25.2,75.36,18,20.98,63.64,Throw (completion)
khenke,20.98,63.64,18,-1.68,68.73,Throw (completion)
jkaplan,-1.68,68.73,18,9.61,76.52,Throw (completion)
eswiatek,9.61,76.52,18,14.64,75.36,Throw (completion)
eswiatek,10.49,82.57,18,-2.56,73.32,Throw (completion)
dfitzgera,-2.56,73.32,18,-15.16,87.16,Throw (completion)
jkaplan,-15.16,87.16,18,-4.96,87.52,Throw (completion)
mevans,-4.96,87.52,18,15.37,89.78,Throw (completion)
eswiatek,15.37,89.78,18,20.83,98.73,Throw (completion)
mevans,20.83,98.73,19,24.69,110.09,Goal
cwilder,-7.29,9.17,18,-18.07,17.83,Throw (completion)
jhustad,-18.07,17.83,22,-18.07,17.82,Throwaway
jhustad,-7.66,7.86,18,-10.5,25.41,Throw (completion)
bstreet,-10.5,25.41,18,1.31,30.14,Throw (completion)
awilsonho,0.07,38.66,18,6.84,30.0,Throw (completion)
cwilder,-3.36,30.0,22,-8.16,92.19,Throwaway
jhustad,-4.12,38.31,18,-5.76,55.99,Throw (completion)
marmstron,-5.76,55.99,19,7.72,112.79,Goal
dfitzgera,9.39,33.42,18,-9.33,45.14,Throw (completion)
mevans,-9.33,45.14,18,-16.76,55.41,Throw (completion)
dfitzgera,13.26,61.6,18,22.51,82.28,Throw (completion)
jkaplan,22.51,82.28,19,19.38,108.34,Goal
jhustad,3.35,35.82,18,-13.92,35.02,Throw (completion)
cwilder,-0.15,35.31,18,-4.3,44.63,Throw (completion)
ndigiorgi,-4.3,44.63,18,6.26,34.44,Throw (completion)
cwilder,6.26,34.44,18,-6.85,33.64,Throw (completion)
jhustad,-20.55,36.69,18,11.22,40.99,Throw (completion)
ndigiorgi,11.22,40.99,18,-7.0,80.02,Throw (completion)
awilsonho,-7.0,80.02,22,-8.6,111.77,Throwaway
dfitzgera,-22.08,16.52,18,-7.29,15.58,Throw (completion)
mevans,-7.29,15.58,18,8.81,27.37,Throw (completion)
eswiatek,8.81,27.37,18,19.01,39.39,Throw (completion)
khenke,19.01,39.39,18,23.6,52.86,Throw (completion)
khenke,24.77,64.73,18,12.38,72.3,Throw (completion)
jkaplan,12.38,72.3,18,11.73,68.37,Throw (completion)
khenke,11.73,68.37,18,-8.24,71.94,Throw (completion)
mevans,-8.24,71.94,18,-14.72,71.21,Throw (completion)
jkaplan,-14.72,71.21,18,-23.83,77.18,Throw (completion)
eswiatek,-23.83,77.18,18,-21.72,68.0,Throw (completion)
dfitzgera,-21.72,68.0,18,-9.19,65.46,Throw (completion)
jkaplan,-9.19,65.46,18,7.72,70.26,Throw (completion)
mevans,7.72,70.26,18,16.46,76.82,Throw (completion)
jpotts,16.46,76.82,18,21.12,76.23,Throw (completion)
eswiatek,21.12,76.23,19,23.46,115.7,Goal
bstreet,-3.87,6.91,18,0.51,34.95,Throw (completion)
jhustad,0.51,34.95,18,-10.13,34.44,Throw (completion)
cwilder,-10.13,34.44,18,11.87,36.4,Throw (completion)
jhustad,11.87,36.4,18,-6.27,44.19,Throw (completion)
bstreet,-6.27,44.19,18,-10.72,61.16,Throw (completion)
dfitzgera,-13.56,11.21,18,-0.3,25.48,Throw (completion)
mevans,-0.3,15.48,18,-12.54,15.21,Throw (completion)
dfitzgera,-12.54,15.21,18,5.31,16.96,Throw (completion)
mevans,5.31,16.96,18,12.16,31.96,Throw (completion)
jpotts,12.16,21.96,18,14.2,37.57,Throw (completion)
jkaplan,15.37,48.42,18,5.46,98.3,Throw (completion)
khenke,5.46,98.3,18,-2.26,99.83,Throw (completion)
dfitzgera,-2.26,99.83,18,3.78,95.31,Throw (completion)
mevans,3.78,95.31,18,24.33,98.51,Throw (completion)
jkaplan,24.33,98.51,19,18.06,105.72,Goal
cwilder,25.57,50.16,18,16.24,54.24,Throw (completion)
bstreet,7.5,60.72,18,-1.17,85.04,Throw (completion)
awilsonho,-1.17,85.04,18,-4.52,90.5,Throw (completion)
cwilder,-4.52,90.5,19,-12.97,109.73,Goal
dfitzgera,-11.23,14.78,18,-10.06,24.39,Throw (completion)
mevans,-10.06,24.39,22,-12.75,24.03,Throwaway
dfitzgera,-18.0,19.51,18,-21.28,32.83,Throw (completion)
eswiatek,-21.28,32.83,18,-14.29,17.11,Throw (completion)
mevans,-14.29,17.11,18,-3.65,22.2,Throw (completion)
eswiatek,-3.65,22.2,18,18.28,32.54,Throw (completion)
jkaplan,18.28,32.54,22,24.66,59.02,Throwaway
mevans,20.59,68.67,18,16.53,80.6,Throw (completion)
jpotts,16.53,80.6,18,17.55,75.5,Throw (completion)
eswiatek,17.55,75.5,18,21.85,84.68,Throw (completion)
jpotts,21.85,84.68,18,15.15,91.09,Throw (completion)
eswiatek,15.15,91.09,22,17.85,110.02,Throwaway
cwilder,-24.7,20.6,18,-19.39,34.0,Throw (completion)
awilsonho,-19.39,34.0,18,-6.34,29.05,Throw (completion)
cwilder,-6.34,29.05,18,14.71,35.46,Throw (completion)
ndigiorgi,14.71,35.46,18,-3.87,34.87,Throw (completion)
jhustad,-3.87,34.87,18,-13.27,30.43,Throw (completion)
cwilder,-13.27,30.43,18,2.55,29.78,Throw (completion)
jhustad,2.55,29.78,18,10.2,34.73,Throw (completion)
ndigiorgi,10.2,34.73,18,-2.41,34.0,Throw (completion)
jhustad,-2.41,34.0,18,-6.64,49.73,Throw (completion)
dfitzgera,0.0,40.0,18,14.13,34.87,Throw (completion)
mevans,14.13,34.87,18,-3.28,28.83,Throw (completion)
dfitzgera,-3.28,28.83,18,-12.76,48.2,Throw (completion)
jpotts,-12.76,48.2,18,-22.66,61.67,Throw (completion)
khenke,-22.66,61.67,18,-14.07,71.35,Throw (completion)
dfitzgera,-14.07,71.35,18,-21.43,85.41,Throw (completion)
jkaplan,-8.3,27.05,18,7.86,28.76,Throw (completion)
mevans,7.86,28.76,18,-9.11,38.15,Throw (completion)
eswiatek,-9.11,38.15,18,-17.35,45.0,Throw (completion)
jkaplan,-17.35,45.0,18,-11.66,55.26,Throw (completion)
jpotts,-11.66,55.26,19,-5.03,108.42,Goal
cwilder,-10.13,14.85,18,-2.34,19.15,Throw (completion)
jhustad,-2.34,19.15,18,-9.84,29.12,Throw (completion)
cwilder,-9.84,29.12,18,2.76,29.78,Throw (completion)
jhustad,2.76,29.78,18,13.04,34.73,Throw (completion)
bstreet,13.04,34.73,18,-4.89,39.24,Throw (completion)
jhustad,-4.89,39.24,18,-12.17,55.26,Throw (completion)
cwilder,2.91,44.05,18,6.41,53.37,Throw (completion)
ndigiorgi,-3.72,64.87,18,-6.13,73.39,Throw (completion)
bstreet,-6.13,73.39,18,-17.2,74.7,Throw (completion)
cwilder,-11.3,70.7,18,-17.64,98.0,Throw (completion)
awilsonho,-17.64,98.0,18,-7.07,96.26,Throw (completion)
ndigiorgi,-7.07,96.26,19,-13.85,106.52,Goal
jkaplan,11.87,13.47,18,8.01,25.12,Throw (completion)
dfitzgera,8.01,25.12,18,15.0,32.11,Throw (completion)
mevans,15.0,32.11,18,20.61,47.54,Throw (completion)
jpotts,20.61,47.54,18,25.93,66.84,Throw (completion)
khenke,25.93,66.84,18,25.93,76.38,Throw (completion)
eswiatek,25.93,76.38,19,8.81,108.34,Goal
cwilder,-14.36,35.46,18,-1.17,39.39,Throw (completion)
jhustad,-1.17,39.39,18,8.23,44.12,Throw (completion)
bstreet,8.23,44.12,18,12.96,55.12,Throw (completion)
ndigiorgi,12.96,55.12,18,-5.4,49.66,Throw (completion)
jhustad,-5.4,49.66,18,14.06,60.21,Throw (completion)
ndigiorgi,14.06,60.21,18,13.47,70.12,Throw (completion)
bstreet,-5.25,84.97,19,11.36,114.02,Goal
dfitzgera,14.71,11.5,18,3.64,16.6,Throw (completion)
