player_id,thrower_x,thrower_y,event_type,dest_x,dest_y,event_name
lyorgason,0.48,73.09,18,-16.87,79.35,Throw (completion)
jmiller,-16.87,79.35,19,-18.8,104.77,Goal
aroy,-2.44,12.49,18,-8.62,16.4,Throw (completion)
jmalks,-8.62,16.4,18,2.43,16.95,Throw (completion)
aroy,2.43,16.95,18,-7.32,17.71,Throw (completion)
jmalks,-7.32,17.71,18,2.43,21.96,Throw (completion)
aroy,2.43,21.96,18,10.53,31.64,Throw (completion)
ebonnet,10.53,31.64,18,-3.4,36.45,Throw (completion)
mmcdonnel,-3.4,36.45,18,9.64,40.02,Throw (completion)
ebonnet,9.64,40.02,18,-1.34,43.59,Throw (completion)
cjurek,-1.34,43.59,18,-5.39,58.28,Throw (completion)
